department,date,income
ГП,2025-01-01,510.0
ДЦ,2025-01-01,465.0
ГП,2025-01-02,5450.0
Массаж,2025-01-02,1785.0
СМ,2025-01-02,1665.0
ТЗ,2025-01-02,8407.5
БК,2025-01-03,1275.0
ГП,2025-01-03,5742.5
ДЦ,2025-01-03,651.0
Массаж,2025-01-03,19659.25
СМ,2025-01-03,900.0
ТЗ,2025-01-03,15372.0
БК,2025-01-04,2066.25
ГП,2025-01-04,1620.0
ДЦ,2025-01-04,577.5
Массаж,2025-01-04,3475.0
СМ,2025-01-04,0.0
ТЗ,2025-01-04,22522.0
БК,2025-01-05,4127.5
ГП,2025-01-05,2000.0
ДЦ,2025-01-05,651.0
Массаж,2025-01-05,7880.0
Мероприятия ФД,2025-01-05,550.0
СМ,2025-01-05,0.0
ТЗ,2025-01-05,17177.5
БК,2025-01-06,4651.25
ГП,2025-01-06,12652.5
ДЦ,2025-01-06,1155.0
Массаж,2025-01-06,12705.0
Мероприятия ФД,2025-01-06,4700.0
СМ,2025-01-06,900.0
ТЗ,2025-01-06,59306.5
БК,2025-01-07,725.0
ГП,2025-01-07,9698.0
Массаж,2025-01-07,8491.0
СМ,2025-01-07,900.0
ТЗ,2025-01-07,45633.5
БК,2025-01-08,7511.25
ГП,2025-01-08,8035.0
ДЦ,2025-01-08,16775.0
Массаж,2025-01-08,3166.25
Мероприятия ФД,2025-01-08,1800.0
СМ,2025-01-08,1800.0
ТЗ,2025-01-08,66221.25
БК,2025-01-09,2585.0
ГП,2025-01-09,25978.5
Массаж,2025-01-09,11071.25
Мероприятия ФД,2025-01-09,7200.0
СМ,2025-01-09,900.0
ТЗ,2025-01-09,60850.25
БК,2025-01-10,5180.0
ГП,2025-01-10,10856.0
ДЦ,2025-01-10,5918.5
Массаж,2025-01-10,4577.0
Мероприятия ФД,2025-01-10,2000.0
СМ,2025-01-10,1800.0
ТЗ,2025-01-10,68174.0
БК,2025-01-11,725.0
ГП,2025-01-11,16810.0
ДЦ,2025-01-11,1097.5
Массаж,2025-01-11,9228.25
СМ,2025-01-11,4500.0
ТЗ,2025-01-11,57670.5
БК,2025-01-12,2103.75
ГП,2025-01-12,13151.0
ДЦ,2025-01-12,4638.5
Массаж,2025-01-12,6038.0
Мероприятия ФД,2025-01-12,550.0
СМ,2025-01-12,0.0
ТЗ,2025-01-12,22219.5
БК,2025-01-13,8710.0
ГП,2025-01-13,36174.5
ДЦ,2025-01-13,13997.0
Массаж,2025-01-13,23275.25
Мероприятия ФД,2025-01-13,1000.0
СМ,2025-01-13,6300.0
ТЗ,2025-01-13,106946.0
БК,2025-01-14,616.25
ГП,2025-01-14,35428.0
ДЦ,2025-01-14,11667.75
Массаж,2025-01-14,22646.25
Мероприятия ФД,2025-01-14,15000.0
СМ,2025-01-14,4500.0
ТЗ,2025-01-14,81838.25
БК,2025-01-15,3150.0
ГП,2025-01-15,37313.25
ДЦ,2025-01-15,17181.0
Массаж,2025-01-15,31803.0
